"Category","Peak Demand","Peak Met"
" Gujarat<br>Jan-2020",16189,16189
" All India<br>Jan-2020",171592.1733519581,170976.0852050781
" All India<br>Jan-2020",171592.1733519581,170976.0852050781
" Gujarat<br>Jan-2020",16189,16189
" Gujarat<br>Feb-2020",16538,16538
" All India<br>Feb-2020",179098.2594765625,176387.5634765625
" Gujarat<br>Feb-2020",16538,16538
" All India<br>Feb-2020",179098.2594765625,176387.5634765625
" All India<br>Mar-2020",170748.5862971534,170164.9310302734
" Gujarat<br>Mar-2020",16816,16816
" All India<br>Apr-2020",133200.2905496094,132733.1833496094
" Gujarat<br>Apr-2020",13508,13508
" All India<br>May-2020",166889.6747726706,166225.3947753906
" Gujarat<br>May-2020",15588.9046,15578
" Gujarat<br>Jun-2020",15924,15924
" All India<br>Jun-2020",166686.3649035156,164981.6169433594
" All India<br>Jul-2020",171509.50978287,170408.30859375
" Gujarat<br>Jul-2020",15741,15741
" Gujarat<br>Aug-2020",14829,14829
" All India<br>Aug-2020",169126.9860839844,167528
" All India<br>Sep-2020",177018.7533886719,176413.4733886719
" Gujarat<br>Sep-2020",15749,15749
" All India<br>Oct-2020",170555.6963125475,169898.8176269531
" Gujarat<br>Oct-2020",17304.0543,17298
" Gujarat<br>Nov-2020",16596,16596
" All India<br>Nov-2020",161398.1325893785,160778.90234375
" All India<br>Dec-2020",183548.4688975638,182783.907714844
" Gujarat<br>Dec-2020",16759,16759
" All India<br>Jan-2021",190197.5091496329,189395.052734375
" Gujarat<br>Jan-2021",17323.17025,17305
" Gujarat<br>Feb-2021",17304.1044,17292
" All India<br>Feb-2021",189912.7977294922,187969.7977294922
" Gujarat<br>Mar-2021",18528.28335,18483
" All India<br>Mar-2021",186388.7464337234,185892.1536865234
" All India<br>Apr-2021",183036.5467529297,182379.0744628906
" Gujarat<br>Apr-2021",19360,19360
" All India<br>May-2021",169132.3443288175,168780.8735351562
" Gujarat<br>May-2021",17924.2713,17918
" All India<br>Jun-2021",193996.2739576466,191242.6735839844
" Gujarat<br>Jun-2021",18111.99765,18093
" Gujarat<br>Jul-2021",19007,19007
" All India<br>Jul-2021",203013.5656738281,200538.5656738281
" All India<br>Aug-2021",197739.1552186219,196271.0476074219
" Gujarat<br>Aug-2021",19451.40255,19431
" All India<br>Sep-2021",181091.9090195512,180735.71875
" Gujarat<br>Sep-2021",15499.39735,15421
